,ResponseId,Informed consent,Age,Gender,Continent of residence,Understanding of sustainability,Concerned about wasting resources,Socially responsible person,Prefer sustainability to conveniency,Willingness to make the world a better place,Clothing shopping frequencies,Factors that influence my shopping decisions,Needs and desires,Understanding of ethical fashion,Own sustainable clothing,Well informed on sustainable clothing,Impact of sustainble clothing on the world,Ability to afford sustainable clothing,Intention to buy sustainable clothing within the next 12 months
15,R_1LTihWcavmFAzrw,Yes,Under 22,Male,North America,Something that survives on its own without needed outside assistance.,TRUE,Mostly true,TRUE,Very important,Monthly,Price/comfort,"Cheap, comfortable, and ethically created clothing",Clothing that is made in ethical ways that does not create a negative drain/effect on materials or labor.,Yes,Disagree,Mostly true,Strongly agree,1
16,R_2RX5tNkFTpwfDXw,Yes,22-39,Female,North America,able to reproduce or continue without harming,Mostly true,Neutral,Not true,Important,Monthly,does it look good,fat people clothes that don't look like floral circus tents,clothing made organically,Maybe/Not sure,Neutral,Mostly true,Strongly agree,0
17,R_2BbnkGx2mKlipvv,Yes,22-39,Female,North America,Sustainability is a lifestyle that can be maintained with little environmental impact. ,Mostly true,Mostly true,Mostly true,Very important,I avoid it at all costs!,How comfortable the clothing is and how well the clothing fits.,Clothes that fit my body type in a flattering but comfortable way.,Clothing made in a way and from materials that have a minimal environmental impact. ,Maybe/Not sure,Disagree,TRUE,Disagree,0
18,R_2Ez2yEwFv9PNuiH,Yes,22-39,Male,Europe,Not using/consuming more resources than available.,TRUE,Neutral,Neutral,Slightly important,I avoid it at all costs!,It doesn't take much time.,I just need clothing. I don't care about the look. It has to fit and I don't want to spend time on shopping clothes at all.,The manufacturing does no damage to the environment and uses only renewable resources.,Maybe/Not sure,Neutral,Mostly true,Neutral,0
19,R_bqE1hGn1FoT8jxn,Yes,22-39,Female,Asia,Sustainability is maintaining the health of the environment.,Mostly true,Neutral,Mostly true,Important,Every 3 months,"cost, look, comfort",clothing that suits my style,Clothes made with the environment in mind.,Maybe/Not sure,Disagree,Mostly true,Agree,1
20,R_ueHvt022BQmcCZP,Yes,22-39,Female,North America,Creating/using a product that has minimal impact on the environment.,TRUE,Mostly true,Mostly true,Important,Every 3 months,Price,"Vegan friendly options more easily i.e. no wool, silk, or leather. Made in the USA.","Recycled fibers, not made in sweatshops",Yes,Strongly disagree,Mostly true,Disagree,1
21,R_2QFIASRW5Pd0LSd,Yes,22-39,Male,Europe,That depends on the context,Mostly true,Neutral,Mostly true,Important,I avoid it at all costs!,no opinion,"Just wish there was an international standard for sizes, so that I could buy my clothes online without worry of fit being wrong.",,Maybe/Not sure,Strongly disagree,Neutral,Neutral,0
22,R_1oe60k7t41I6HMn,Yes,22-39,Female,Europe,sustainability is a characteristic of processes which do not deplete resources unduly. it seems pretty subjective.,Mostly true,Mostly true,TRUE,Important,Every 6 months,do i need it?,"waterproof, feminine boots that are made in europe or usa or fair trade.

professional, conservative clothes that are made in europe or usa or fair trade.","clothing made by laborers earning a decent wage.
textiles sourced and processed in a less-toxic way.",Yes,Strongly agree,TRUE,Disagree,1
27,R_Yb6ZfUFq0nyHd0R,Yes,Under 22,Female,North America,To be able to manage whatever terms come into consideration for a person,Not true,Mostly not true,Neutral,Neutral,Monthly,Cost,Affordable but comfortable clothing,Clothing that uses materials that are not harsh for the environment ,Maybe/Not sure,Strongly disagree,Mostly true,Strongly agree,1
29,R_1rktJtwgVKCoo1y,Yes,22-39,Female,Africa,maintenance of a particular level of activity / quality over an extended period of time,TRUE,Mostly true,Mostly true,Very important,Every 3 months,"Price, fit, where to buy ",Better-looking clothing produced in a sustainable fashion,Clothing produced with materials and by individuals that are environmentally sound and with fair business practices,Yes,Neutral,Mostly true,Neutral,1
37,R_1g1p42e3fKA3wrd,Yes,Under 22,Female,North America,Feasible in the long term. Environmentally friendly ,Mostly true,Mostly true,Mostly not true,Important,Every 6 months,Cost vs. durability ,Clothes that are simple but cheap. Not going to buy a white shirt for $30,Organic/sustainably grown crops? Not sure. ,Maybe/Not sure,Neutral,Neutral,Agree,0
41,R_25zlCf5XbUmc79s,Yes,22-39,Male,South America,Being able to sustain something without any long-term problems. ,Not true,Not true,Not true,Neutral,Every 3 months,Price x quality ,Something that fits my body perfectly without having to modify the product(I'm too skinny so most clothes look like potato sacks on me). ,Honestly I have no idea. Something like using wool from sheep or silk from silkworms which basically don't stop growing? ,Maybe/Not sure,Neutral,TRUE,Neutral,0
42,R_22WhFv7lE3DYoLb,Yes,22-39,Male,North America,"Something that can be done in a way that doesn't contribute to a decline in a population (a general definition, the term 'population' can be used liberally here)",TRUE,Neutral,Mostly true,Important,Yearly,Price,Thicker weaves,Clothing where the materials are produced in a way that fits with my 'sustainable' definition earlier,Maybe/Not sure,Strongly disagree,TRUE,Strongly agree,0
47,R_6fWvYTixfh0QM8x,Yes,Under 22,Female,North America,The ability of a practice to be repeated in the same manner over a long period of time.,Mostly true,Neutral,Neutral,Important,I avoid it at all costs!,,"Things that are sustainable, easy to find, that look good, fit me, and are inexpensive.","If all clothing in the world were made the same way, the resources used to produce them (water, land, energy, etc) would not be depleted faster than they could be replaced.",Maybe/Not sure,Disagree,TRUE,Neutral,1
57,R_2DYxQrVhI1Ud4ct,Yes,22-39,Male,North America,That which can if continued ad eternam permit enjoyment of life on earth in accordance with a balanced ecosystem. ,Mostly true,Mostly true,Mostly true,Important,Every 6 months,Have a well-made durable product that will actually remain useable for years. ,"Clothing made of natural fibers that look at least a bit nice, are comfortable and from  a country where labourers can actually earn a living. ","Fibers from a natural renewable material, eith the least impact on the environment, made by a worker that can provide for their own self and family. ",Yes,Strongly disagree,Mostly true,Disagree,1
58,R_SJe1dx8uwct5fJ7,Yes,22-39,Male,North America,"Things that either last a long time, or things made from other things, so as little waste as possible is produced. ",Mostly true,Mostly true,Mostly true,Neutral,Every 6 months,Cost,,"Clothing made from other products, or made from material that doesn't have a big environmental impact. ",Maybe/Not sure,Neutral,Mostly true,Neutral,0
59,R_3r03Oa5MgNFm2b2,Yes,22-39,Male,North America,Creating things in such a way that they don't contribute unnecessarily to the negative human impacts on the environment. ,TRUE,Mostly true,Mostly true,Very important,Every 6 months,Cost and style,Things that fit my body in a way they do most other people's,Clothing who's manufacture and transport don't negatively affect the environment or the people who produce it. ,Maybe/Not sure,Disagree,Mostly true,Agree,1
60,R_1KfEkc7WMMTRiPH,Yes,22-39,Male,North America,A product that performs consistently over a long period of time ,Neutral,Neutral,Mostly not true,Important,Every 6 months,Style/looks,New styles/unique things ,Environmentally friendly ,Maybe/Not sure,Neutral,Neutral,Neutral,0
61,R_W9xgL0a1LQ6scN3,Yes,22-39,Other,North America,"I guess being able to maintain without losing momentum, or produce without over using resources. Having a hard time putting it into words.",TRUE,TRUE,TRUE,Very important,I avoid it at all costs!,"Affordability, feel, look. All my clothing comes from thrift stores so I don't really worry about company ethics or what it's made from since my money isn't going toward supporting them good or bad. Though I would like to know more about the thrift stores I shop at an their impact and ethics and stuff.","Tl;dr: 

- Clothing using a unit of measurement for size instead of an arbitrary number.
- More styles for men.
- Reasonable prices.
- Less 'production line' and more unique.
- Clothing that isn't currently 'in style'.

Long version:

Anything that doesn't make me look fat. Things that fit right. Clothing with real units of measurement instead of random numbers that mean nothing for size. I have an eating disorder, so when I am 00 in one size but 0 in another it makes me feel even fatter, which I know is dumb. If clothing could all just have waist, hip, inseam, etc measurements life would be much easier and buying clothing would be less stressful, even for 'normal' people. Also, things that fit are usually way too short, which is annoying.

More 'fun' or stylish or whatever 'guys' clothing. I guess just in general clothing geared more towards body type rather than gender? Like, to me, lots of dress styles don't look good on typical male body types simply cause the way the dress fits. If designers were to design dresses for a male body type, I think it would look good. It would be nice if certain colours, styles, patterns, etc. weren't excluded by gender. I feel like there would be a lot more of a selection and way to express ones self.

Even at thrift stores these days (at least where I live) prices have gone up like crazy. I can get new stuff from Walmart or Target for about the same price or a few dollars more and it will probably last longer, but I really hate buying from them. Other stores like Kohls do have 'sales' (read: prices marked up so they can call it on sale later) which can also be about the same price. 

Part of the reason I like thrift stores is I'm not supporting stores that have potentially poor practices, and I also am not just picking up a shirt out of a million others that look like it. Sure, it was at one point, but it kinda makes it more fun, especially if it is a more unique item. It is nice to find things that aren't the typical 'in style' thing, but still looks nice.

There is plenty of fashion throughout history that still looks nice, just isn't currently in style. I swear last time I browsed Target everything was a crop top with either a triangle and some 'deep' saying, Native American print and had little tassels hanging from it, or all lace. I just want options outside of whatever 'trend' is in.

Anyway hope that is what you were looking for, and hope it made sense.","Honestly, I would like to see something like 3D printed clothing. That way you could choose colour, size, etc. and have it tailored to your body without additional cost. Fewer garments would be made and potentially wasted (not only material wise, but time to make, pack, ship, stock, etc., and gas to transport...all that jazz). We could just make what is needed/wanted.

Additionally, clothing made from sustainable sources (I don't have enough knowledge on the subject, so whatever that would be), and with sustainable energy and all that.",Maybe/Not sure,Agree,TRUE,Strongly agree,0
63,R_1nNiCz3nj2ETl1q,Yes,22-39,Female,North America,Ability to replicate a process without increasing cost (monetarily and ecologically).,Neutral,Neutral,Mostly not true,Not important,Every 3 months,Lowest cost for highest quality,Someone to do it for me.,Pretentious. If you want to get the waste out of fashion eliminate the industry. It is an utterly useless pursuit.,Maybe/Not sure,Neutral,Not true,Neutral,0
70,R_R4cRd6DsSfFFwAN,Yes,22-39,Female,North America,A method of cultivation and production that measures and actively works to reduce its impact on the planet.,TRUE,Mostly true,Neutral,Very important,Every 3 months,Fit,Cute clothing that is ethical,"Ethically sourced materials
Alternative fabrics such as bamboo and hemp",Yes,Disagree,TRUE,Neutral,1
71,R_yrogLdzWwK7gJ1L,Yes,22-39,Female,Europe,,Neutral,Not true,Not true,Neutral,Every 3 months,Style ,More jeans options apart from skinny jeans,Clothing made ethically,Maybe/Not sure,Disagree,Neutral,Strongly disagree,0
73,R_2vieXzokdV6W9fv,Yes,39-52,Male,Asia,Products that tax the earth in the least amount possible. ,TRUE,Mostly true,Mostly true,Very important,Every 3 months,,,,Maybe/Not sure,Disagree,Mostly true,Neutral,0
74,R_2Bg61VhasF5TTOS,Yes,22-39,Female,Europe,something that can be produced repeatedly over a period of time,Mostly true,Neutral,Mostly not true,Very important,Every 3 months,price,,something that's produced using new environmentally-councious methods ,Maybe/Not sure,Strongly agree,Mostly true,Neutral,0
75,R_1DFFM0Mtf8s7A0s,Yes,22-39,Female,Europe,Referring to something that can continue to be done indefinitely without becoming depleted or damaged,Mostly true,Mostly true,Mostly true,Very important,Monthly,How it looks ,More comfortable clothing that still looks good,Clothing made with a sustainable manufacturing process and/or using sustainable materials,Yes,Neutral,Mostly true,Neutral,1
76,R_1rH6n99ZDXajAHL,Yes,22-39,Female,Europe,,TRUE,TRUE,Mostly true,Very important,Every 3 months,,,,Yes,Disagree,Mostly true,Agree,0
77,R_1pPAq1GJtWayhue,Yes,22-39,Other,Europe,something that can be maintained without draining resources which can not be replenished ,Mostly true,Mostly true,Not true,Neutral,Monthly,size matters,my size and better fit,clothing recycle?,Maybe/Not sure,Disagree,Mostly true,Neutral,0
79,R_u98z4j2BJMuLtrH,Yes,22-39,Female,Europe,environmentally friendly and non-diminishing resources,Mostly true,Mostly true,TRUE,Very important,I avoid it at all costs!,It's affordable but ethical,"More petite clothing, particularly dresses, that are a good price but are made sustainably and sold by an organisation with sustainable practices. A wider range of colours and patterns would be nice too.",Clothes made and sold considering ethical practices,Yes,Agree,TRUE,Agree,1
80,R_3qHwMHDghUBxFdi,Yes,22-39,Female,Europe,"Lasting, good for environment, investment",Mostly true,Mostly true,TRUE,Important,I avoid it at all costs!,Is it comfortable?,,Long lasting clothing that is fabricated responsibly both concerning the environment and laborers,Yes,Disagree,TRUE,Neutral,1
81,R_BxrC2Ulo8I6TgRj,Yes,22-39,Female,North America,That which is productive or capable for a long period of time,Mostly true,Mostly true,Neutral,Very important,Every 3 months,whether it suits me,Eco-friendly clothing,"That which lasts for 10 years or longer without losing its color, feel and other properties",Maybe/Not sure,Agree,Mostly true,Neutral,1
82,R_cYmC3UeU1smFHbz,Yes,22-39,Female,Europe,something that does not do damage in the long run to the environment or to any natural resouces,Mostly true,Mostly true,Neutral,Neutral,Monthly,convenience,affordable good quality clothing,using natural materials,No,Disagree,Mostly true,Agree,0
83,R_3JwuxRrLzxQ89fQ,Yes,22-39,Male,Australia,"Taking care of the environment and those who live within it, both human and non human animals",Mostly true,Neutral,Mostly not true,Very important,Monthly,Price,Affordable prices,Recycled and reused,Yes,Disagree,Mostly true,Agree,1
84,R_1C2bC5mWSBzupIn,Yes,Under 22,Female,North America,Preserving the world for future generations,TRUE,Mostly true,Neutral,Very important,Every 3 months,Price,Low-cost clothing that is comfortable and lasting,Clothing produced (and disposed) in a way that does not (and will not) harm the environment,No,Disagree,TRUE,Agree,0
85,R_AFi6PWHtLN4FVXb,Yes,Under 22,Female,North America,Something being done in a way that can be redone in the future without running out of resources,TRUE,TRUE,Mostly true,Important,Monthly,Whether or not I like it,Clothing I like and is affordable,Clothing that is made in a way that doesn't harm the environment or the people making the clothing,Yes,Disagree,TRUE,Neutral,1
86,R_2sYkzk0PxYDTA4K,Yes,22-39,Female,North America,A resource that can renew itself without the use of another resource.,Neutral,Neutral,Mostly not true,Important,Every 3 months,Value and comfort,Everything on sale and in my size,no idea,Maybe/Not sure,Strongly disagree,Not true,Neutral,0
87,R_12RNFX4Ns3F06pq,Yes,22-39,Male,North America,The way of balancing your everyday life,Mostly true,Mostly true,Mostly true,Important,Yearly,the fit,Shirts that fit me correctly. Very comfortable shoes,Cloths that look good and last,Maybe/Not sure,Disagree,Mostly not true,Neutral,0
88,R_8AkhUR2yuSmALzr,Yes,22-39,Male,North America,Doing your activities without prejudicing the enviroment,Neutral,Neutral,Mostly true,Important,Every 3 months,Price,cheaper clothes,Clhothes that are made without affecting negatively our enviroment,Maybe/Not sure,Disagree,Neutral,Agree,0
89,R_3qI0eEgaLPVfz19,Yes,22-39,Male,North America,to be able to maintain,TRUE,Mostly true,Mostly true,Important,Yearly,if its comfortable,the right size im tall,clothes that are durable,Maybe/Not sure,Neutral,Neutral,Neutral,0
90,R_3hcOjVhTlWGldb6,Yes,22-39,Female,North America,Sustainability is the way that something can survive for many years to come and how suitable it is to the local environment.,TRUE,Neutral,TRUE,Very important,Every 6 months,Price,"Clothing that is affordable and tailored to a shorter person, but with large hips.",Sustainable clothing is made from products that do not harm the environment when the original wearer no longer wears it.,Maybe/Not sure,Strongly disagree,TRUE,Strongly agree,1
91,R_2afvqf8tShvN1Ot,Yes,22-39,Female,North America,"the ability to utilize resources in a way that promotes conservation, such as a container that can be used repeatedly for a multitude of purposes (i.e., a shampoo container that can eventually be used as a planter, water bottle, etc.).",Mostly true,Mostly true,Mostly not true,Very important,Weekly,good fit,sizes that fit perfectly,clothing made from recycled materials,Yes,Agree,Mostly true,Neutral,1
92,R_1FhWYnddn9j6sgK,Yes,22-39,Male,North America,"Something that maintains a balance of resources, can be continued at a steady rate indefinitely, or environmentally friendly means of production",TRUE,Mostly true,Mostly true,Important,Monthly,style & fit,clothes that fit perfectly,Clothes that are produced in an environmentally friendly and resource efficient way,Yes,Neutral,Mostly true,Disagree,1
93,R_1riTP4u12eQZd0c,Yes,22-39,Female,North America,"Something that last a long time, or is made to last a long time, or something that will last a long time. Something durable.",Mostly true,Mostly not true,Mostly not true,Slightly important,Monthly,How it looks on my body,"Clothes that honor different body types, not just the standard body.",Clothing that last a long time. Considering the previous definition I would describe it as clothes that environmentally friendly.,Maybe/Not sure,Strongly disagree,Mostly true,Neutral,0
94,R_3KT8w1wm2nawZsS,Yes,22-39,Male,North America,,Neutral,Mostly true,Mostly true,Important,Monthly,,,,Yes,Neutral,Mostly true,Agree,1
95,R_2QnbdUunvHgP2dU,Yes,22-39,Female,North America,Able to get by,Neutral,Neutral,Neutral,Important,Monthly,style,"Clothing that fits me well, and is comfortable. Also something with good quality that will last.",Clothing that is environmentally friendly and made without harming people or the environment.,Yes,Disagree,Mostly true,Disagree,0
96,R_87U3cn5D9kY8OAh,Yes,22-39,Female,Asia,Sustainability means creating an economic system that provides for quality of life while renewing the environment and its resources.,TRUE,TRUE,TRUE,Very important,Monthly,quality,color,Sustainability means creating an economic system that provides for quality of life while renewing the environment and its resources.,Yes,Strongly agree,TRUE,Agree,1
97,R_3soivuFJqbG4o7G,Yes,22-39,Female,Asia,Sustainability means the way the life of things last,Mostly true,Neutral,Neutral,Important,Monthly,Qaulity,The best and smartest,Something that has long durability,Maybe/Not sure,Neutral,Mostly true,Neutral,0
98,R_25N7epL9K2hdhYf,Yes,22-39,Male,South America,avoidance of the unwanted event of natural materials in order to maintain an originality and also in a original range,TRUE,Mostly true,TRUE,Neutral,Every 3 months,brand from the clothes and price,quality of the brand,it should not vary when it was buy,Yes,Neutral,Mostly not true,Neutral,1
99,R_26ajLnbCm9kKmBn,Yes,22-39,Female,North America,Ability to maintain status quo,TRUE,TRUE,TRUE,Very important,Every 3 months,cost and comfort,comfortable and cheap clothing,clothes that are well made and made responsibly,Maybe/Not sure,Neutral,Neutral,Neutral,0
100,R_1N7YnZmMZwuOxro,Yes,22-39,Male,South America,The ability to be maintained at a certain rate or level.,Neutral,Neutral,Mostly true,Very important,Monthly,THE QUALITY OF THE PRODUCT,THE BEST QUALITY FOR THE VALUE,refers to fabrics derived from eco-friendly resources,Maybe/Not sure,Neutral,Mostly true,Disagree,0
101,R_2f3fDCpMRyPLeLq,Yes,22-39,Female,North America,It is using resources so that there will be more resources in the future.,Mostly true,Mostly true,Mostly true,Very important,Weekly,whether I will actually wear it,clothes with pockets and cat pictures.,"It is clothing that is manufactured responsibly and in an environmentally friendly way, or acquired in an environmentally friendly way.",Yes,Agree,TRUE,Strongly agree,0
102,R_2rjrb1pIvR2VlHd,Yes,22-39,Male,Asia,Sustainability is to make use of existing resources in a judicious manner and allowing them to be recycled,Mostly true,Neutral,Neutral,Important,Monthly,"Price, quality",more better quality,use natural raw material and cause less pollution,Maybe/Not sure,Disagree,Mostly not true,Agree,1
103,R_1FyTbDnaHAKZDHd,Yes,22-39,Male,North America,The ability to continuously exist.,Neutral,Mostly not true,Mostly not true,Neutral,Every 6 months,How much I am spending,"Comfortable, attractive clothing at a low price.",Clothes made from recycled materials.,Maybe/Not sure,Neutral,Mostly true,Disagree,0
104,R_1PdUFBu9WXiMo3q,Yes,22-39,Male,North America,Something that is made to last longer than typical and something that is made of recycable items and can when not  to be used anymore to be recycled.,Mostly true,Mostly true,Mostly true,Very important,Monthly,How long will the clothes fiber will last me,Something that is waterproof and does not fade out in color after a couple of washes.,Clothing made out of recyclable fibers and clothing that can last a very long time.,Yes,Strongly agree,TRUE,Disagree,1
105,R_1IoCpkqoemcoXea,Yes,22-39,Female,North America,Something that can be used more than once and doesn't break easily,Mostly true,Mostly true,Neutral,Very important,Every 6 months,price/style/how long it will last,Basic shoes that fit a women's 12w that isn't running shoes or heels,clothes that can last a long time. won't fall a part easily,Yes,Disagree,TRUE,Agree,1
106,R_3rVAs44Td6uQOyd,Yes,22-39,Female,North America,"Sustainability is the awareness that the earth's resources are limited, and following from that, the choice to conserve resources and recycle as much as possible.",TRUE,TRUE,Mostly true,Very important,Monthly,Whether or not it looks good on me.,More stylish clothes at a reasonable price and more consistent sizing among brands.,"Sustainable clothing is produced in factories that limit environmental pollution, pay their employees fair wages, and may even be made of recycled materials.",Maybe/Not sure,Strongly disagree,TRUE,Agree,1
107,R_1kLg3xUjkcxaosF,Yes,22-39,Female,North America,Sustainability is something that is maintained. That keeps going on. it doesn't end,Mostly true,Neutral,Mostly not true,Very important,Monthly,Pirce,"Clothes that won't fade or stretch, and things that are in the same size and fit me. Instead of one item being one size and another item being a different size.","Clothing that will keep going for years. Also perhaps something I could buy at goodwill or salvation army. It's passed its use for someone, but now I am wearing it.",Yes,Disagree,Neutral,Agree,0
108,R_3m29HGbiO8Ys46B,Yes,22-39,Male,Asia,The ability to maintain at a certain level.,TRUE,TRUE,TRUE,Important,Monthly,"Brand, Quality and price",The best clothing which I look for.,The cloth that gives long life is called as sustainable clothing.,Yes,Agree,Mostly true,Agree,1
109,R_28FJVrvsThJenO5,Yes,22-39,Male,Asia,The ability to be maintained at a certain rate or level.,TRUE,Mostly true,Neutral,Very important,Monthly,"Good to look, Nice quality","Good quality, good colour and nice variety.",I want to look very nicely when where the clothing,Yes,Neutral,Mostly true,Agree,1
110,R_3Rf52zSQiZsmcv4,Yes,22-39,Female,North America,"Able to maintain, renew",Mostly true,Mostly true,Neutral,Very important,Monthly,Cost and fit,Super comfortable but stylish clothing,Ethically produced clothes made from environmentally friendly fibers,Maybe/Not sure,Neutral,Mostly true,Disagree,1
111,R_3IYRbGcUbxZVYmt,Yes,22-39,Female,North America,the ability to make something last for a certain amount of time,TRUE,Mostly true,Mostly true,Very important,Monthly,quality in relation to price,clothes that were made of good material that look flattering too (and aren't outrageously expensive),clothes made from materials we have a lot of and that will last a long time,Maybe/Not sure,Disagree,TRUE,Neutral,1
112,R_sCfCrIbMIgwEMjT,Yes,22-39,Male,North America,"It is something that is done, a resource, or a process that is designed to be maintained. It is something done in a way that resources will not run out, and it is somewhat renewable.",TRUE,Mostly true,Neutral,Very important,Every 6 months,Fit and value,"Clothes that are environmentally responsible, fit well, and are affordable. I'd also like them to be stylish and attractive.","Clothing that is made using resources that are renewable, the energy used can be green (most likely). The materials may be locally sourced, are made from fabrics that can be maintained or from recycled materials, and can also be organic.",Maybe/Not sure,Disagree,Mostly true,Disagree,1
113,R_BsLuCepGGygtp6x,Yes,22-39,Male,Asia,Ability to maintain an activity over the long term.,Mostly true,TRUE,Mostly true,Very important,Every 3 months,I buy clothing that would suit my personality.,Better quality clothing which match my personality.,"Clothings which are reusable, affordable, ethical,and Eco-friendly.",Maybe/Not sure,Neutral,TRUE,Strongly disagree,1
114,R_1etVRfSo3CCNl2M,Yes,22-39,Male,Asia,Ability to maintain the expected level,TRUE,TRUE,Neutral,Very important,Every 3 months,"Quality, Brand, Sustainability",my favorite and deserving cloth,Gives good look and long life,Yes,Agree,Neutral,Disagree,0
115,R_1OrfTddCWGvSdr5,Yes,22-39,Male,North America,To maintain a certain rate or level.,TRUE,Mostly true,Mostly true,Important,Every 3 months,"Price, practicality, and quality.",Better deals on the brands I like. Cheaper prices and better quality.,Clothes made from organic or recycled materials.,Maybe/Not sure,Agree,Mostly true,Disagree,1
116,R_1jE8mi9C9Y49OIr,Yes,22-39,Male,North America,Sustainability to me is something that is able to be kept up with and not falter no matter the future.,Mostly true,Mostly true,Mostly true,Important,Every 3 months,Cost,More affordable everyday items,Something that is made from recycled clothing and or material that is renewable with ease.,Maybe/Not sure,Strongly disagree,Mostly true,Neutral,1
